Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Determining angle measures using the cosine rule in non-right triangles,Trigonometry in Non-Right Triangles,"In triangle ABC, side \(AB = 8 \, \text{cm}\), side \(AC = 6 \, \text{cm}\), and side \(BC = 10 \, \text{cm}\). Calculate the measure of angle \(A\).",Use cosine rule: \(\cos A = \frac{b^2 + c^2 - a^2}{2bc} = \frac{8^2 + 6^2 - 10^2}{2 \times 8 \times 6}\). Calculate to find \(A\).,Use tangent rule: \(\tan A = \frac{6}{8}\). Calculate to find \(A\).,Uses tan when cos is required,501
Understanding the operation of multiplication involving square roots,Algebra,"If \( x = 9 \), what is the result of \( x \times \sqrt{x} \)?",\( 27 \),\( 3 \),Believes multiplying a number by its square root gives the square root,502
Interpret a pictogram involving fractions of symbols,Pictogram,![A pictogram where one tree symbol = 10 trees. Orchard A has 5 tree symbols. Orchard B has 3.5 tree symbols. Orchard C has 4 tree symbols. Orchard D has 6.25 tree symbols.]() The pictogram shows the number of trees in different orchards. How many trees are in Orchard D?,\( 62.5 \),\( 60 \),Ignores partial symbols on pictograms,503
Calculate the sum from mean and number of terms,Statistics: Understanding Mean,"A class of students has an average score of 75 in Mathematics. If there are 20 students in the class, what is the total sum of the scores for the class?",The total sum of the scores is \( 75 \times 20 = 1500 \).,The total sum of the scores is \( 75 + 20 = 95 \).,"Given the mean and the amount of numbers, adds to find the total",504
Understanding Least Common Multiple (LCM),Number Theory,Find the least common multiple of \(8\) and \(12\).,\(24\),\(96\),Believes finding the product of two numbers gives their lowest common multiple,505
Understanding variable manipulation,Algebraic Expressions and Equations,Simplify the expression: \( 3x \times 2y + 4xy \),The correct simplification is \( 6xy + 4xy = 10xy \).,The incorrect simplification based on this misunderstanding is \( (3x + 2y) + 4xy = 5x + 6y \).,Believes that multiplying variables is the same as adding them together,506
Understanding Grouped Frequency Tables,Data Summarization and Analysis,"From the table below, showing the number of books read by a group of students over a month, determine the total number of students. 

\[
\begin{tabular}{|c|c|}
\hline Number of Books & Frequency \\
\hline \( 1-3 \) & \( 5 \) \\
\hline \( 4-6 \) & \( 8 \) \\
\hline \( 7-9 \) & \( 4 \) \\
\hline \( 10-12 \) & \( 3 \) \\
\hline \( 13-15 \) & \( 1 \) \\
\hline
\end{tabular}
\]",\( 21 \),\( 15 \),Believes the total frequency is the overall total in a grouped table,507
Understanding Rate and Distance Conversions,Physics/Mathematics,A car travels at a speed of \( 30 \) meters per second. How far does it travel in \( 2 \) hours?,"The car travels \( 30 \) m/s \( \times \) \( 3600 \) s/hr \( \times \) \( 2 \) hr = 216,000 meters.","The car travels \( 30 \) m/s \( \times \) \( 1000 \) s/hour \( \times \) \( 2 \) hours = 60,000 meters.",Thinks there are 1000 seconds in an hour,508
"Understanding the Relationship between Speed, Distance, and Time",Basic Mechanics and Algebra,"A cyclist covers a distance of \( 30 \) kilometers in \( 3 \) hours. Using the relationship between speed, distance, and time, calculate their average speed.",\( 10 \) kilometers per hour,\( 90 \) kilometers per hour,Believes speed is distance multiplied by time,509
Understanding the Graphical Representation of Quadratic Functions,Comparing Algebraic and Graphical Representations,Consider the quadratic equation \( y = x^2 - 6x + 9 \). Determine the shape of its graph and identify whether it is an 'n' shaped or 'u' shaped curve.,"The graph of the quadratic function \( y = x^2 - 6x + 9 \) is a 'u' shaped curve, as the coefficient of \( x^2 \) is positive.","The graph of the quadratic function \( y = x^2 - 6x + 9 \) is an 'n' shaped curve, due to the presence of a positive \( x^2 \) coefficient.",Believes that a positive x squared coefficient in a quadratic equation results in an n shaped graph,510
Understanding Integers,Basic Arithmetic and Algebra,"Solve the following equation for \( x \): \( 3x - 5 = 10 \). Then, find the value of the expression \( 2x - 12 \).","First, solve for \( x \):  
\[ 3x - 5 = 10 \]  
Add 5 to both sides:  
\[ 3x = 15 \]  
Divide both sides by 3:  
\[ x = 5 \]  
Now, substitute \( x = 5 \) into the expression \( 2x - 12 \):  
\[ 2(5) - 12 = 10 - 12 = -2 \]  
The correct answer is \(-2\).","Assuming the student ignores the negative sign:  
Substitute \( x = 5 \) into the expression \( 2x - 12 \):  
\[ 2(5) - 12 = 10 + 12 = 22 \]  
The incorrect answer is \(22\).",Ignores the negative sign when thinking about the value of a term,511
Simultaneous equations involving simple substitution,Simultaneous Equations,"If the sum of a number and twice another number is 10, and the difference between twice that number and three times the other number is 1, what are the two numbers?",\( \begin{array}{l}x=4 \\ y=3\end{array} \),\( \begin{array}{l}x=4 \\ y=2\end{array} \),"When asked to solve simultaneous equations, believes they can just find values that work in one equation",512
Understanding and calculating highest common factors (HCF),Number theory,Jane is making gift bags for a party and she has 30 pieces of candy and 45 party hats. She wants to divide them equally among the gift bags with each one having the same number of candies and the same number of party hats. What is the greatest number of gift bags she can make?,15,1350,Believes they need to multiply the numbers together in a worded HCF question ,513
Calculate the area of non-right-angled triangles using trigonometric ratios,Trigonometry and Geometry,"A triangle has sides of lengths 5 cm, 7 cm, and 9 cm. To find the area, a student uses the formula 0.5 \cdot a \cdot b \cdot \sin(C). Is this the correct approach? If the answer is 'yes', what angle should be used in the calculation?","No, the formula 0.5 \cdot a \cdot b \cdot \sin(C) requires the measurement of an angle between two known sides. To use this formula correctly, you need to know at least two sides and the included angle between them. In this scenario, where only the three sides are given, Heron's formula is a suitable choice for calculating the area.","Yes, the formula 0.5 \cdot a \cdot b \cdot \sin(C) requires only the three sides without needing any angle. The student might randomly choose any angle or wrongly assume an angle exists without actually calculating it.",Believes 0.5absin(c) requires only three sides (potentially confused with cosine rule),514
Understanding the classification and properties of quadrilaterals,Geometry: Quadrilateral properties and classifications,"Rachel is sorting a set of shapes and needs to place them into categories. She has three shapes: a square, a rectangle, and a rhombus. She places the rhombus into the parallelogram category but leaves the rectangle out, insisting it doesn’t fit there. Is Rachel sorting the shapes correctly? Why or why not?",Rachel is not sorting the shapes correctly. Both the rectangle and the rhombus are types of parallelograms because they both have their opposite sides equal and parallel. The correct categorization should include both the rhombus and the rectangle under the parallelogram category.,"Rachel is sorting the shapes correctly because only the rhombus is a type of parallelogram, as rectangles do not fit the typical shape of a parallelogram.",Does not know a rectangle is a type of parallelogram ,515
Understanding Inverse Operations,Simplifying Algebraic Equations,Solve for \( x \) in the equation: \( 5x = 20 \). What operation should you use to isolate \( x \)?,"To isolate \( x \), divide both sides by 5. \( x = \frac{20}{5} = 4 \).","Add 5 to both sides instead, leading to an incorrect setup: \( 5x + 5 = 20 + 5 \). This results in \( 5x = 25 \) and an incorrect solution for \( x \).",Thinks the inverse of multiplication is addition,516
Triangle Classification,Geometry,"Consider triangle ABC with vertices A(2, 3), B(5, 7), and C(8, 3). Determine the type of triangle ABC based on its side lengths.",Scalene Triangle,Isosceles Triangle,Assumes triangles are isosceles if they look like they are isosceles,517
Calculating percentage decreases,Percentage Change in Values,"If the original price of a jacket is 80, and it is decreased by 25%, what is the new price of the jacket?",The new price is 60.,The new price is 100.,Thinks that to decrease by a percentage you multiply by 1+ the decimal equivalent to that percentage,518
Identify factors of algebraic expressions,Factorising quadratic expressions,Which of the following is a factor of: \( x^2 + 5x + 6 \),\( (x + 2) \),\( 5x \),"When asked for factors of an algebraic expression, thinks a term will be a factor",519
Concept of inverse operations in equation solving,Algebraic Thinking,Maria is trying to solve an equation using inverse operations. She starts with the equation: \( x + 5 = 15 \). What inverse operation should Maria use to isolate \( x \)?,Subtract 5,Multiply by 5,Thinks the inverse of addition is multiplication,520
Scaling Numbers by Three,Mathematical Reasoning,Triple the number \( 2 \). What do you find?,\( 6 \),\( 222 \),"When asked to triple, writes the digit out three times",521
Understanding and using the centre of enlargement in geometry,Transformations and Enlargements,"A point A is located at (3, 2) on a coordinate plane. The centre of enlargement is at the origin (0, 0) and the scale factor is 2. Find the coordinates of the image of point A after enlargement.","The coordinates of the image of point A are (6, 4)","The coordinates of the image of point A are (4, 2)",Does not count from the centre of enlargement to find the image,522
Understanding and plotting the slope of a linear sequence,Algebra: Linear Graphs,"Alice and Sam are analyzing a linear sequence described by the equation \( y = -2x + 3 \).

Alice says ""Since the gradient is negative, it means the line slopes downwards as you move from left to right.""

Sam says ""A line can't slope downwards; gradients must be positive to represent a real sequence.""

Who is correct?",Only Alice,Neither is correct,Believes you cannot have a negative gradient when plotting a linear sequence,523
Understanding and applying square roots in expressions,Algebra,Consider the expression \( 2\sqrt{25} + \sqrt{4} \). Calculate the result.,The correct evaluation is \( 2(5) + 2 = 10 + 2 = 12 \).,"A common error might be treating the square root as if it just simplifies the expression to lower terms, giving \( \sqrt{50 + 4} = \sqrt{54} \), which is approximately 7.35.",Does not understand square root,524
Identify rational and irrational numbers,Simplification of Surds,"Determine if the following number is rational: \( \sqrt{49} \). Also, is \( \sqrt{20} \) rational?","\( \sqrt{49} \) is rational because 49 is a perfect square, and \( \sqrt{20} \) is not rational because 20 is not a perfect square.","Neither \( \sqrt{49} \) nor \( \sqrt{20} \) is rational because they both involve roots, which are thought to always be surds if not simplified properly.",Does not understand that a surd is a rational number if the number under the root is a square number,525
Understanding the relationship between different units of length within the metric system,Metric System Conversions,A rectangular field is \( 0.5 \) kilometers long and \( 0.2 \) kilometers wide. What is the perimeter of the field in millimeters?,"1,400,000 millimeters","140,000 millimeters",Thinks there are 10000mm in a km,526
